a,b,s
17.08937615,6.541032746,0.443133769
1.444131691,0.241646122,0.534440753
2.102140558,0.38138224,0.61387817
1.794144411,0.336620028,0.499053949
3.228156605,0.826464368,0.3696667
2.744889532,0.690282007,0.535402296
3.577865982,0.77808944,0.451059885
7.419155573,2.452701323,0.378600247
2.372558503,0.64249103,0.493146936
1.656389234,0.258377618,0.510122895
1.000081789,0.131647293,0.585936444
1601.782291,539.7723733,0.305493775
17.58351766,4.296235235,0.468648262
2494.712338,754.3744411,0.328752576
3.828445095,0.815312041,0.333224245
4.987243942,1.371135961,0.497177982
3.705378443,1.032906914,0.387913388
3.495296915,1.032602731,0.519098904
2513.756177,676.6899219,0.473261372
1.448893069,0.210854725,0.568014294
3.787312436,1.264959717,0.475421385
4.661513655,0.953155426,0.316219145
2.420754813,0.54777039,0.511984078
31.94616395,13.75273554,0.438223659
21810.48445,6787.102408,0.284905043
2.860633925,0.772473506,0.413135825
30.75520529,12.63485285,0.340446064
3.29529783,1.013308274,0.53541916
9.347047711,3.217501508,0.528928729
1.615271602,0.270399103,0.419039258
4.093806015,1.149777628,0.496641542
3.494805926,0.972474127,0.388975165
0.996788446,0.13002299,0.508190883
1.168467108,0.179152376,0.5640099
1.846099101,0.552948758,0.510514086
6.267657615,1.680610359,0.42965989
1.388476451,0.186958399,0.435762409
2.241582854,0.446209152,0.524099762
2.01175116,0.444224087,0.516571371
2.714762055,0.641163094,0.475997467
7.43176781,2.474475455,0.358321258
2.544943436,0.51087787,0.394494648
1.710484068,0.28999189,0.500728621
1.258287897,0.35900479,0.393189441
1651.323217,433.0067622,0.380184965
1.518574243,0.297751722,0.713026216
1917.26194,621.5022526,0.359637588
2.713182631,0.754773541,0.486128655
2.245300161,0.610857914,0.607653981
6.637804575,2.156630081,0.407519962
8.880459054,1.940803067,0.372864763
2998.139609,865.8584833,0.390131891
3.575074533,0.8159138,0.471568048
1.64466771,0.327485729,0.391242365
2.310070175,0.525935448,0.524594795
1.873594482,0.353767645,0.411653209
16.03605183,5.783009517,0.365643113
12.63634018,4.766457946,0.401825932
2.196270429,0.415017525,0.379557346
7.168282698,2.169569483,0.426842588
4.711565038,1.302842374,0.466525488
6.475146212,1.712934033,0.366872949
4.007056303,1.235741947,0.539378762
5.129082269,1.728690203,0.441789126
2.785520467,0.600650951,0.482279695
2.093025214,0.321053784,0.434226579
2.571975284,0.51636456,0.434406593
2299.3268,521.4031565,0.481056585
1952.107656,565.3871198,0.360678856
2.607691439,0.579631633,0.493513849
1383.478664,395.050217,0.245859277
5.145606886,0.931280809,0.344963179
2.226192494,0.660301215,0.40291943
4.753911515,1.527098219,0.449836396
4.829307017,1.613540295,0.452940167
3.851542486,0.862766696,0.355691393
25.51430045,11.58013518,0.482940303
337.8678043,111.8073255,0.393783888
4.140815152,1.362572582,0.46035555
107361.0945,30051.74715,0.266196477
1.570841167,0.37633376,0.457196227
1.245113481,0.246646134,0.546358674
2.055541187,0.490583224,0.494737453
3.143829379,0.621186537,0.366868135
6.878912928,2.316458844,0.439617831
2.871636061,0.540814078,0.368783324
1.824628362,0.444558075,0.508161053
11.10710062,3.881729221,0.475491892
7892.668789,2589.555997,0.347798738
1.005642707,0.106816979,0.547054623
1.555607057,0.286803871,0.464166376
3.844621469,0.853463719,0.529374538
3.638861849,0.756694367,0.384524365
569.7406312,148.8282778,0.451864576
8.516482318,2.641055914,0.370294867
1.269426443,0.18285801,0.5652569
3.371467756,0.761399484,0.438462366
2.315164901,0.337635243,0.421902637
3.684181056,1.147046307,0.495775596
1910.981814,480.2237807,0.362828332
2256.707157,750.082876,0.295958597
2.680271127,0.691453177,0.405361778
7.455773927,2.595647161,0.299877139
2.955615868,0.651052012,0.379887163
9.695382788,2.71669599,0.268561644
1242.001009,317.4301126,0.511972885
2.444175983,0.372698184,0.338476149
5.576803155,1.471345593,0.428384477
4.199971421,1.302477996,0.460644802
4.177672359,1.076989713,0.458975533
10.41518105,3.585158725,0.375512544
797.8073724,248.3181768,0.404319028
13.60441377,5.435050145,0.329438091
1.4234973,0.157472279,0.434608249
22.57869517,5.545014749,0.277866
2.633624048,0.668042781,0.477812538
10321.90964,2368.526368,0.332017762
15.03184344,2.859770713,0.413075295
2.162709517,0.50138842,0.477854184
1.246182837,0.243022441,0.49319152
1.326467845,0.26917723,0.510966562
9464.418414,2441.246011,0.437870628
3864.080786,1091.313108,0.291745267
3.377927615,0.829175682,0.304947266
5950.900578,1670.704657,0.272851705
2.354998924,0.537246261,0.453086959
2.169614903,0.605164798,0.441394757
