a,b,c,s
1204324.197,135028.7341,744104.7064,0.48994775
389742.7347,73239.54691,158170.779,0.394086669
25216634.64,2133731.133,13817204.48,0.286360165
416399.2892,71433.29633,215767.8301,0.519197231
2769095.025,198765.5322,1756567.82,0.351046607
233180.2379,52556.82204,93901.46765,0.445904787
230535.061,56139.8783,72472.1623,0.408140837
518569.3627,91476.40822,196538.6448,0.359745584
502924.8675,38615.61262,509872.7539,0.520781837
212173.9846,35096.97112,97487.93127,0.47622168
735820.548,116671.2072,412533.3397,0.401483922
386732.5571,83635.03322,173376.1882,0.392536247
550951.6921,76072.21043,204235.4975,0.315743442
565615.7981,86676.92715,217580.202,0.419358509
4214379.879,695849.1104,1266914.567,0.340368089
476882.8459,136381.4652,126445.4064,0.413250444
349123.6848,82481.29038,159756.9956,0.5194949
260889.471,76302.05427,66007.83142,0.363133495
770214.6196,164284.8904,498000.6502,0.465498513
861649.3708,131592.5531,445490.0392,0.431246221
747529.8576,155049.9276,282857.2689,0.474710528
308089.9101,58570.34662,95182.26225,0.249988527
567574.1804,60162.43153,382963.3932,0.401471529
3.200900861,0.424632965,0.866723794,0.406043459
230082.4303,56331.65781,58358.73732,0.403781356
369745.3581,95595.79614,137192.4519,0.358737952
549002.9515,96739.726,401410.0397,0.515565151
328059.0985,63317.74693,113982.8722,0.388142015
390004.1875,69865.79347,148197.2271,0.269858307
353191.0295,81610.44924,169163.2841,0.578122018
863269.9881,178630.1161,305858.7179,0.347854411
986525.5266,229879.0691,350504.4365,0.38652362
291276.8057,75008.49923,89810.34424,0.3316893
116353.363,35120.17256,23670.29396,0.331939676
3553555.88,350450.9054,2460430.999,0.38209412
288765.0275,51165.84889,127378.2668,0.416843581
343882.6893,52735.20644,178363.2393,0.466814294
1223919.689,351440.1356,407412.3515,0.505827542
333701.3181,59185.07634,152090.6263,0.393161158
3916953.81,542468.9239,2910691.107,0.506537912
692454.4073,138711.1944,329737.5762,0.544759355
285153.6764,37851.9406,137306.8901,0.385252697
676825.1024,177285.9613,159418.3917,0.457188035
212161.3159,56883.82009,52095.03178,0.389009139
148058.9364,36164.25875,41100.02033,0.337026644
377868.2669,85341.77626,106856.8778,0.347983875
837803.2053,70097.65431,627501.1936,0.469331471
316680.3173,100483.8092,67430.37019,0.456812028
425074.4779,98847.46071,182208.6302,0.397489342
541499.615,108001.4994,264895.1838,0.423772088
710130.09,176553.5,232612.3894,0.353561204
30.30379531,8.118525152,7.720119043,0.334712589
169058.1793,46037.12445,61226.14606,0.465613552
2462491.981,420931.9336,1541604.024,0.497407897
41959365.8,9872697.001,15231709.14,0.459892378
494212.6113,86208.5213,135622.3795,0.38928025
300823.0261,77864.48512,157653.7558,0.489063114
1637759.338,266564.1899,771320.7641,0.406199033
491742.3184,93946.92743,169999.3733,0.318115758
440179.3946,130365.8327,105901.1236,0.340757035
638760.1575,129651.6359,284845.0408,0.426790475
832835.2799,191220.9456,352340.7855,0.477337114
401183.0044,101705.0251,113875.278,0.449944585
131134.0395,19497.98532,68971.09982,0.438260491
1475115.919,244080.698,784156.0317,0.453455979
397778.1949,68385.58086,185011.6262,0.502785242
616686.6824,167554.8215,204417.2779,0.47869871
1045665.481,220929.2525,404311.665,0.441182142
573353.4834,108177.7246,227730.0665,0.37662052
337693.2871,80112.48522,81351.71868,0.351177483
1426883.113,298641.1438,726058.4019,0.445563575
492210.6497,53462.06656,349938.9894,0.480492171
210631.2936,26119.58449,85423.82268,0.382912736
383077.1026,55853.26552,315694.9478,0.487351904
781778.7408,259848.4418,207445.8425,0.394109183
527476.6888,112536.4045,217801.475,0.463130221
319514.306,41069.3145,139180.8549,0.364577631
10085562.88,2745782.061,2335333.435,0.4445062
872110.4558,143199.6487,403643.8451,0.42371109
328742.1013,61486.57976,184061.876,0.564608568
117581.1957,33032.94643,19737.11472,0.378815574
700064.9909,145857.2733,174850.0992,0.349106294
167319.5335,33264.62509,61390.48993,0.370189509
792163.9327,177475.1105,218432.8122,0.324559747
515416.4405,112633.7099,123134.9726,0.338453132
328523.3546,75596.35975,141267.8463,0.497156812
355930.0013,48714.93007,206968.7628,0.406346106
424506.8957,100234.7877,99645.65638,0.203814424
453711.6435,94687.29758,209417.6844,0.447170345
395483.3483,72612.75458,149142.142,0.442082428
297513.5748,46446.77568,145220.0413,0.479183963
8884081.246,1951705.677,3188700.806,0.397684578
