a,b,m,s
33.42547895,10.57973061,3.465221383,0.377381068
7.218150883,1.720651736,2.233391494,0.459041829
4.30380432,0.886292182,1.652423048,0.374167531
5.163986816,0.945930534,1.753349225,0.346330219
34.86095207,8.811403407,3.290262753,0.397811985
13553.65916,4086.997828,9.117927271,0.364987277
69.01951768,26.2618393,-12.50816972,0.471397387
23.09727234,5.654070182,3.128710078,0.389050677
3846.92454,1206.766177,1.614366274,0.35151151
5.710717383,1.430677111,1.518683311,0.348417922
19.38393965,6.817834951,-8.427760695,0.429951909
12.34840668,2.203054476,3.291984797,0.483866139
9.420796908,2.725335596,2.269250263,0.337465032
4.124553825,0.620819717,1.671455944,0.373779667
99.62170535,23.94895566,3.602320208,0.343143208
7.485758936,1.730961004,1.690601508,0.321799359
6.296949251,1.79949635,1.691327496,0.347743323
17.29076556,4.618919423,3.136821796,0.365010918
6.295040597,1.370826032,2.174506474,0.428762507
5.782603247,1.223345314,1.771979098,0.399579587
20.36017308,4.890291712,3.220331209,0.495744714
4.292305212,0.840117409,2.192356545,0.546194909
3.848718384,0.6349832,1.654140412,0.431779443
3.735148893,0.626997659,1.900776932,0.453729273
115.1669534,30.65671927,4.789315124,0.498349088
4.932825965,1.172354575,1.527963556,0.389327832
3.712296361,0.629265419,1.661569583,0.363381681
5.538573422,1.382139603,1.024736199,0.355408348
37.76197616,13.2955346,3.432772482,0.374077249
12.9796086,3.189790605,2.911839731,0.351500451
8.909501869,2.451509013,2.373323145,0.449004627
44.47895885,11.27909523,4.39262274,0.423267996
9.413482458,2.616273256,1.548770946,0.311292398
9.127314293,2.744979658,2.249204882,0.363083488
6.980792869,0.990937889,2.694815323,0.34371207
75.74894887,27.48865857,-12.58059076,0.431270618
2.999706185,0.35006241,1.391876212,0.299902102
39.59160683,14.13546147,-9.620659882,0.450307863
4.531768952,1.017591453,1.621624395,0.259060786
14.48800061,3.836673697,2.947400213,0.415186596
4.4545012,0.737041538,1.780413399,0.341871282
393.8203252,108.8193894,5.993038032,0.384109959
8.664076062,2.355732259,2.305239239,0.302482382
15.76839123,4.335722169,3.177000006,0.434319396
2.116976871,0.200656484,1.284316269,0.380726192
5.851108435,1.292867787,2.17829058,0.416706873
4.898918629,1.000533697,1.863983278,0.410397222
5.199706064,1.098369104,1.971005424,0.422404176
10.27979093,3.581361366,2.510010127,0.46581875
65.07885778,20.42706179,-10.78373588,0.403301154
6.960366154,1.467935513,2.170011423,0.427977103
5.488796255,0.979900411,2.247128534,0.476758644
5.552198918,1.471010878,1.468916583,0.279021719
13.32510165,3.510758783,2.800630629,0.390091197
32.30228864,9.569565864,3.756515658,0.416807404
10.70364954,2.250077704,2.669941343,0.338862042
10.93194857,3.397822931,2.278933748,0.397249159
5.477186283,1.142790475,2.083508222,0.349450121
13.41864859,3.418593529,3.556707457,0.444697234
11.79330012,3.094124515,2.792448444,0.447915741
5.622804204,1.437570452,1.97726118,0.486860962
12.98587855,3.599574936,2.234031828,0.286456384
49.29622441,13.62317638,4.602965305,0.450656324
1604.968379,421.1595388,6.629848958,0.306850383
4.414339899,0.972899848,1.351382157,0.400745934
3.957361417,0.726798935,1.776744399,0.443324935
63.03771751,22.28470965,-12.52854742,0.524485218
64.43913527,19.15111689,-9.581744135,0.4792121
8.549018528,1.788859704,2.71608748,0.401073758
16.43315353,5.531855238,1.959598474,0.340435963
9.96145334,2.643212636,2.249695501,0.395588921
4.946355713,1.105325435,1.696437337,0.367190291
77.78052163,25.71521941,-9.535241942,0.421974625
5.681664927,1.121138041,1.703554741,0.286173758
10.74703695,3.021908911,2.314255808,0.354761103
3.44465105,0.55898894,1.466052993,0.398896009
72.85241683,18.5713187,4.421154587,0.485078197
11.23440796,2.67032646,2.769266782,0.410295592
432.0991489,152.7572544,-8.22335174,0.552204101
3.429703829,0.726404991,1.318958046,0.341047517
14.86073111,3.070061307,2.508121673,0.231201347
9.182548344,1.591539312,3.121630043,0.426742945
48.78083464,10.33297239,4.299716009,0.485371218
10.2568576,2.233062019,2.467643461,0.289141194
5.496177205,1.091402104,2.385932653,0.529045585
75.58658291,30.27752986,-12.49424885,0.433473232
12.17104893,3.898103095,2.279361464,0.30741813
19.70505138,6.110881042,2.801846676,0.363441468
1927.709754,535.2197856,4.591480642,0.274381588
9.130364762,1.914604672,2.589000424,0.392849874
2.899269123,0.509405695,1.887733864,0.534066314
2.774951483,0.344610104,1.350119648,0.361969859
2.086536293,0.187381626,1.287535872,0.336702012
4.387689562,0.694496712,2.075090086,0.46051284
4.215067296,0.572709071,2.29441987,0.482758147
6.907224222,1.208305161,2.214597343,0.250544257
3.291625759,0.597064417,1.761011553,0.461106172
132.2962892,38.77007544,4.832559905,0.244681868
3.486305559,0.615372887,1.295611962,0.326212635
6.332187007,1.51446212,2.20206823,0.447700388
5.06738954,1.575706304,0.468756118,0.29578802
11.18361123,3.582380028,2.098536879,0.45959324
3.430437391,0.368580561,1.836062705,0.347069464
5.982107083,1.463913733,2.070806896,0.398465479
6.242146027,1.145857528,1.696972951,0.235569338
9.350275742,2.435882645,1.894912055,0.358373506
5.323781582,1.192485979,1.568157319,0.366202719
68.78714166,23.88245246,-7.8106697,0.523007158
63.9518722,20.78452907,-9.054251522,0.511936613
68.19849971,25.72068218,-12.72690254,0.512040795
9.391896217,3.322551606,1.353158986,0.39747377
6.085495143,1.357116881,2.16935183,0.536261544
4.343643237,0.765653783,2.006348486,0.411201785
