video_id,trial_id,trial_week,trial_rep,camera_num,video_total,tank_id,crab_dens,prey_in,prey_eaten,metadat_id,crab_id
3.1.5,3.1.3.2,3,1,5,137.5666667,8-BI,3,2,2,61.1,61
3.2.5,3.2.3.2,3,2,5,93.31,8-BD,3,2,2,61.2,61
3.2.5,3.2.3.2,3,2,5,93.31,8-BD,3,2,2,75.2,75
3.2.5,3.2.3.2,3,2,5,93.31,8-BD,3,2,2,63.2,63
3.2.5,3.2.1.20,3,2,5,93.31,8-BI,1,20,13,74.2,74
1.1.6,1.1.1.2,1,1,6,144.18,10-BI,1,2,2,13.1,13
1.1.6,1.1.3.2,1,1,6,144.18,10-BD,3,2,2,3.1,3
1.1.6,1.1.3.2,1,1,6,144.18,10-BD,3,2,2,4.1,4
1.1.6,1.1.3.2,1,1,6,144.18,10-BD,3,2,2,23.1,23
1.2.6,1.2.3.2,1,2,6,145.68,10-BI,3,2,2,3.2,3
1.2.6,1.2.3.2,1,2,6,145.68,10-BI,3,2,2,4.2,4
1.2.6,1.2.3.2,1,2,6,145.68,10-BI,3,2,2,23.2,23
1.2.6,1.2.2.2,1,2,6,145.68,10-BD,2,2,2,13.2,13
1.2.6,1.2.2.2,1,2,6,145.68,10-BD,2,2,2,14.2,14
2.1.6,2.1.1.5,2,1,6,118,10-BI,1,5,0,44.1,44
2.1.6,2.1.2.2,2,1,6,118,10-BD,2,2,2,40.1,40
2.1.6,2.1.2.2,2,1,6,118,10-BD,2,2,2,52.1,52
2.2.6,2.2.2.2,2,2,6,132.23,10-BI,2,2,2,52.2,52
2.2.6,2.2.2.2,2,2,6,132.23,10-BI,2,2,2,40.2,40
2.2.6,2.2.1.5,2,2,6,132.23,10-BD,1,5,5,44.2,44
3.1.6,3.1.3.20,3,1,6,139.69,10-BD,3,20,18,77.1,77
3.1.6,3.1.3.20,3,1,6,139.69,10-BD,3,20,18,71.1,71
3.1.6,3.1.3.20,3,1,6,139.69,10-BD,3,20,18,60.1,60
3.2.6,3.2.1.5,3,2,6,175.26,10-BD,1,5,3,80.2,80
3.2.6,3.2.3.20,3,2,6,175.26,10-BI,3,20,12,77.2,77
3.2.6,3.2.3.20,3,2,6,175.26,10-BI,3,20,12,71.2,71
3.2.6,3.2.3.20,3,2,6,175.26,10-BI,3,20,12,60.2,60
